record,cell_line,representation,r_gamma,r_gamma_normalised,ceiling,replicate,p_value,z,null_mean,null_sd
hallmark_permuted_null,K562,hallmark_null,0.1685782975,0.2702875183,0.6236998977,1,,,,
hallmark_permuted_null,K562,hallmark_null,0.1902330053,0.3010727909,0.6318505394,2,,,,
hallmark_permuted_null,K562,hallmark_null,0.1356633735,0.226522537,0.5988957007,3,,,,
hallmark_permuted_null,K562,hallmark_null,0.199795976,0.3138871214,0.6365217377,4,,,,
hallmark_permuted_null,K562,hallmark_null,0.2060561987,0.3277811401,0.6286395815,5,,,,
hallmark_permuted_null,K562,hallmark_null,0.1668117477,0.2632637275,0.6336298176,6,,,,
hallmark_permuted_null,K562,hallmark_null,0.1893755507,0.2975706821,0.6364052714,7,,,,
hallmark_permuted_null,K562,hallmark_null,0.1806376262,0.2879654936,0.6272891379,8,,,,
hallmark_permuted_null,K562,hallmark_null,0.1994583344,0.3147721241,0.6336594606,9,,,,
hallmark_permuted_null,K562,hallmark_null,0.2470525804,0.3832034335,0.6447034624,10,,,,
hallmark_permuted_null,K562,hallmark_null,0.1787764321,0.2780175915,0.6430400002,11,,,,
hallmark_permuted_null,K562,hallmark_null,0.2664506016,0.3921654117,0.6794342226,12,,,,
hallmark_permuted_null,K562,hallmark_null,0.1540304227,0.247944953,0.6212283041,13,,,,
hallmark_permuted_null,K562,hallmark_null,0.08614530839,0.150990015,0.5705364581,14,,,,
hallmark_permuted_null,K562,hallmark_null,0.1821596302,0.2872162793,0.6342246012,15,,,,
hallmark_permuted_null,K562,hallmark_null,0.2041669729,0.3196468806,0.6387266239,16,,,,
hallmark_permuted_null,K562,hallmark_null,0.2312299998,0.3540782752,0.6530476905,17,,,,
hallmark_permuted_null,K562,hallmark_null,0.1864536054,0.301390272,0.6186450683,18,,,,
hallmark_permuted_null,K562,hallmark_null,0.2242097648,0.3503342283,0.6399881788,19,,,,
hallmark_permuted_null,K562,hallmark_null,0.2823548451,0.4287678714,0.6585261256,20,,,,
hallmark_permuted_null,K562,hallmark_null,0.1382845087,0.2251737309,0.6141236286,21,,,,
hallmark_permuted_null,K562,hallmark_null,0.2074256085,0.3305995898,0.6274224617,22,,,,
hallmark_permuted_null,K562,hallmark_null,0.1691343282,0.2667681416,0.6340124693,23,,,,
hallmark_permuted_null,K562,hallmark_null,0.1959838767,0.3067136925,0.6389798744,24,,,,
hallmark_permuted_null,K562,hallmark_null,0.2260255735,0.3473142025,0.6507812577,25,,,,
hallmark_permuted_null,K562,hallmark_null,0.1840269668,0.2989862774,0.6155030537,26,,,,
hallmark_permuted_null,K562,hallmark_null,0.1570123919,0.2488016403,0.6310745849,27,,,,
hallmark_permuted_null,K562,hallmark_null,0.1687444566,0.279864754,0.6029500113,28,,,,
hallmark_permuted_null,K562,hallmark_null,0.1601554048,0.2553452363,0.6272112498,29,,,,
hallmark_permuted_null,K562,hallmark_null,0.2338697969,0.3513648846,0.6656037843,30,,,,
hallmark_permuted_null,K562,hallmark_null,0.2055840004,0.3233770085,0.6357409308,31,,,,
hallmark_permuted_null,K562,hallmark_null,0.2307417704,0.3730559487,0.618517869,32,,,,
hallmark_permuted_null,K562,hallmark_null,0.1754118547,0.2809517414,0.6243487007,33,,,,
hallmark_permuted_null,K562,hallmark_null,0.2637951225,0.4114004462,0.6412125338,34,,,,
hallmark_permuted_null,K562,hallmark_null,0.1676396861,0.2727031136,0.6147333043,35,,,,
hallmark_permuted_null,K562,hallmark_null,0.2015312736,0.3137747222,0.6422801434,36,,,,
hallmark_permuted_null,K562,hallmark_null,0.2168634683,0.3396764028,0.6384413711,37,,,,
hallmark_permuted_null,K562,hallmark_null,0.1697056891,0.2636336918,0.6437177584,38,,,,
hallmark_permuted_null,K562,hallmark_null,0.1444848182,0.236980724,0.6096901713,39,,,,
hallmark_permuted_null,K562,hallmark_null,0.1295731136,0.2155999539,0.600988596,40,,,,
hallmark_permuted_null,K562,hallmark_null,0.2308692877,0.3593184672,0.6425199614,41,,,,
hallmark_permuted_null,K562,hallmark_null,0.2039937787,0.3189792702,0.6395204886,42,,,,
hallmark_permuted_null,K562,hallmark_null,0.2245498223,0.349122189,0.6431840466,43,,,,
hallmark_permuted_null,K562,hallmark_null,0.2359899737,0.3645940738,0.6472677167,44,,,,
hallmark_permuted_null,K562,hallmark_null,0.1477859445,0.2355814952,0.6273240789,45,,,,
hallmark_permuted_null,K562,hallmark_null,0.2468344437,0.3841547155,0.6425391482,46,,,,
hallmark_permuted_null,K562,hallmark_null,0.161926956,0.2622815537,0.6173783619,47,,,,
hallmark_permuted_null,K562,hallmark_null,0.2709744127,0.3958768122,0.6844917519,48,,,,
hallmark_permuted_null,K562,hallmark_null,0.1509673773,0.2425453226,0.6224295555,49,,,,
hallmark_permuted_null,K562,hallmark_null,0.1887006901,0.2989776241,0.6311532197,50,,,,
hallmark_permuted_null,K562,hallmark_null,0.1853613286,0.295612592,0.6270413834,51,,,,
hallmark_permuted_null,K562,hallmark_null,0.1348836128,0.2207948126,0.6109002798,52,,,,
hallmark_permuted_null,K562,hallmark_null,0.1817760094,0.2812660422,0.646277837,53,,,,
hallmark_permuted_null,K562,hallmark_null,0.141414534,0.2262262703,0.6251021768,54,,,,
hallmark_permuted_null,K562,hallmark_null,0.2304813227,0.3547581867,0.6496857051,55,,,,
hallmark_permuted_null,K562,hallmark_null,0.1870107689,0.2944771947,0.6350602771,56,,,,
hallmark_permuted_null,K562,hallmark_null,0.1068140087,0.1775201954,0.6017006035,57,,,,
hallmark_permuted_null,K562,hallmark_null,0.1805502005,0.2892250084,0.6242551484,58,,,,
hallmark_permuted_null,K562,hallmark_null,0.1648349936,0.27316278,0.6034313811,59,,,,
