cell_line,r_gamma_v2_model,r_gamma_hallmark_deterministic,r_gamma_hallmark_normalised,selected_lambda,delta_pearson_selected,delta_pearson_ci_lo,delta_pearson_ci_hi,lambda_theory,delta_pearson_theory,base_pearson
K562,0.7782281831,0.5699436634,0.6519187458,0.25,-0.003624259993,-0.01344234866,0.00691820784,0.8976322454,-0.01747490086,0.5004155166
RPE1,0.1817084304,0.1817084304,0.1939513026,0.25,-0.01728853842,-0.02427412627,-0.01072591769,0.892571241,-0.1003225749,0.7058117062
HepG2,0.1251825055,0.02546453505,0.03177965223,0.5,-0.004221819093,-0.01945210869,0.003940118906,0.8808815209,-0.02602530572,0.6504496241
Jurkat,0.6225119675,0.5103102189,0.5987136494,0.25,-0.006048878568,-0.01326605207,0.005144070866,0.8972717621,-0.04673170704,0.5066272513
